studentid,name,academicinterest,extracurricularactivities,skills,location,yearofstudy,major,gpa,languages,clubmemberships,researchinterests
788,Student 788,Computer Science,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Senior,History,3.16,"Chinese, English, German, Japanese","Art Club, Coding Club, Debate Club",Quantum Computing
789,Student 789,Mathematics,Music Club,Problem Solving,Los Angeles,Freshman,History,3.0,"Chinese, English, French, German, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
790,Student 790,Psychology,Coding Club,Programming,Los Angeles,Graduate,Computer Science,2.9,"Chinese, French","Art Club, Debate Club, Sports Team, Volunteer Group",Machine Learning
791,Student 791,Mathematics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Los Angeles,Junior,Computer Science,3.42,French,"Art Club, Coding Club, Debate Club",Climate Change
792,Student 792,Computer Science,Sports Team,"Artistic, Public Speaking",Los Angeles,Graduate,Psychology,3.38,"Chinese, English, French, German, Spanish","Coding Club, Sports Team, Volunteer Group",Sustainable Agriculture
793,Student 793,Physics,Sports Team,"Artistic, Data Analysis, Leadership, Programming",New York,Sophomore,Psychology,2.38,"Chinese, English, French, German, Japanese, Spanish",Music Club,Healthcare Management
794,Student 794,Physics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,Biology,2.7199999999999998,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club",Healthcare Management
795,Student 795,Psychology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Mathematics,3.05,Japanese,"Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
796,Student 796,Physics,Music Club,"Leadership, Problem Solving",Chicago,Sophomore,Psychology,3.41,"Chinese, English","Art Club, Debate Club, Music Club, Sports Team",Nanotechnology
797,Student 797,Physics,Music Club,Problem Solving,San Francisco,Sophomore,Computer Science,2.98,"Japanese, Spanish","Debate Club, Music Club, Sports Team",Biomedical Engineering
798,Student 798,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Graduate,Biology,3.33,"Chinese, German, Japanese, Spanish","Music Club, Sports Team",Behavioral Economics
799,Student 799,History,Art Club,"Problem Solving, Programming",Chicago,Senior,History,2.16,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
800,Student 800,Physics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,History,2.25,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
801,Student 801,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,Physics,3.62,"Chinese, English, French, German","Coding Club, Debate Club, Music Club",Urban Planning
802,Student 802,Psychology,Art Club,"Data Analysis, Problem Solving, Programming",Houston,Sophomore,History,2.67,"Chinese, English, French, Spanish",Music Club,Urban Planning
803,Student 803,History,Debate Club,"Leadership, Problem Solving, Programming",San Francisco,Junior,Physics,3.3,"English, French","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Blockchain Technology
804,Student 804,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,Psychology,2.55,"Chinese, English, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
805,Student 805,Physics,Art Club,"Artistic, Data Analysis, Leadership, Programming",Boston,Freshman,Mathematics,3.0,"Chinese, English, French, German","Art Club, Coding Club, Debate Club, Music Club",Sustainable Agriculture
806,Student 806,Computer Science,Art Club,"Data Analysis, Leadership, Problem Solving, Programming",Boston,Freshman,Biology,3.25,"Chinese, Japanese","Art Club, Coding Club, Debate Club, Volunteer Group",Robotics
807,Student 807,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Chicago,Freshman,Biology,2.73,"Chinese, French, German, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Educational Technology
808,Student 808,Biology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Los Angeles,Junior,Physics,2.77,"Chinese, English, French, Spanish","Art Club, Music Club, Sports Team",Social Sciences
809,Student 809,History,Sports Team,"Artistic, Leadership, Public Speaking",Houston,Senior,Mathematics,3.84,"English, French, German, Japanese, Spanish",Music Club,Educational Technology
810,Student 810,Mathematics,Sports Team,"Artistic, Problem Solving, Programming, Public Speaking",San Francisco,Sophomore,Psychology,3.89,"French, German",Sports Team,Social Sciences
811,Student 811,Computer Science,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Senior,Mathematics,2.77,"Chinese, English, French, Japanese, Spanish",Sports Team,Bioinformatics
812,Student 812,Biology,Art Club,"Artistic, Problem Solving, Programming, Public Speaking",San Francisco,Junior,Mathematics,2.17,"English, German, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Educational Technology
813,Student 813,History,Debate Club,"Data Analysis, Problem Solving, Programming, Public Speaking",Chicago,Senior,Computer Science,3.01,"Chinese, French, German, Spanish","Art Club, Debate Club, Music Club, Sports Team",Renewable Energy
814,Student 814,Mathematics,Coding Club,"Problem Solving, Programming",San Francisco,Graduate,Biology,2.18,English,"Coding Club, Debate Club, Music Club, Sports Team",Cognitive Psychology
815,Student 815,Mathematics,Volunteer Group,"Artistic, Leadership, Problem Solving, Public Speaking",Boston,Senior,Computer Science,2.21,"Chinese, English, French, German, Japanese","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
816,Student 816,Physics,Volunteer Group,"Data Analysis, Leadership, Problem Solving",Chicago,Sophomore,Biology,2.39,"German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Artificial Intelligence
817,Student 817,Psychology,Coding Club,Leadership,San Francisco,Graduate,History,2.89,Chinese,Coding Club,Cybersecurity
818,Student 818,Psychology,Debate Club,Artistic,San Francisco,Sophomore,Physics,3.1,"German, Japanese","Debate Club, Volunteer Group",Renewable Energy
819,Student 819,Biology,Sports Team,Data Analysis,Chicago,Freshman,Computer Science,2.73,"Chinese, English","Art Club, Debate Club, Sports Team, Volunteer Group",Human-Computer Interaction
820,Student 820,History,Sports Team,"Leadership, Problem Solving, Programming",Los Angeles,Freshman,History,3.15,"Chinese, German, Japanese","Art Club, Coding Club, Music Club, Sports Team",Machine Learning
821,Student 821,Biology,Debate Club,Programming,Chicago,Freshman,Psychology,3.96,"Chinese, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cognitive Psychology
822,Student 822,History,Debate Club,Data Analysis,San Francisco,Graduate,Computer Science,2.69,"Chinese, German, Spanish","Art Club, Coding Club, Debate Club, Volunteer Group",Human-Computer Interaction
823,Student 823,Psychology,Sports Team,Data Analysis,Boston,Freshman,Physics,3.83,"English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Robotics
824,Student 824,Biology,Debate Club,Data Analysis,Chicago,Graduate,Computer Science,3.13,"Chinese, English, French, Japanese, Spanish",Debate Club,Human-Computer Interaction
825,Student 825,History,Debate Club,Leadership,Chicago,Graduate,Mathematics,2.69,"Chinese, English, French, German, Japanese","Debate Club, Sports Team, Volunteer Group",Nanotechnology
826,Student 826,Computer Science,Music Club,"Artistic, Data Analysis, Programming, Public Speaking",Chicago,Graduate,Mathematics,3.69,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Music Club",Biomedical Engineering
827,Student 827,Biology,Music Club,"Data Analysis, Leadership, Programming, Public Speaking",Houston,Graduate,Psychology,2.7800000000000002,"English, German","Coding Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
828,Student 828,Mathematics,Music Club,Artistic,Chicago,Senior,History,2.11,"English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club",Nanotechnology
829,Student 829,History,Coding Club,"Data Analysis, Problem Solving",New York,Graduate,Physics,3.27,"Chinese, English, French, German, Japanese, Spanish",Debate Club,Quantum Computing
830,Student 830,Physics,Sports Team,"Artistic, Data Analysis, Public Speaking",Boston,Senior,Psychology,2.31,"English, German, Japanese","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Quantum Computing
831,Student 831,Psychology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Graduate,Mathematics,2.47,"Chinese, English, French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
832,Student 832,Physics,Sports Team,"Artistic, Data Analysis",Houston,Senior,Computer Science,3.11,Chinese,"Art Club, Music Club",Quantum Computing
833,Student 833,Psychology,Art Club,"Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Graduate,Psychology,3.85,"Chinese, Spanish","Coding Club, Sports Team",Environmental Sustainability
834,Student 834,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Freshman,Computer Science,3.66,"Japanese, Spanish",Volunteer Group,Quantum Computing
835,Student 835,Psychology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",New York,Graduate,Physics,3.99,German,"Art Club, Debate Club",Cybersecurity
836,Student 836,Computer Science,Debate Club,"Data Analysis, Leadership, Problem Solving, Public Speaking",New York,Sophomore,Psychology,3.37,German,"Art Club, Coding Club, Music Club",Artificial Intelligence
837,Student 837,Physics,Debate Club,Public Speaking,Houston,Freshman,History,3.68,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Volunteer Group",Biomedical Engineering
838,Student 838,Computer Science,Art Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Graduate,Mathematics,2.62,"Chinese, English, French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Behavioral Economics
839,Student 839,History,Debate Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Graduate,Physics,3.07,"Chinese, English, French, German, Spanish","Art Club, Volunteer Group",Data Science
840,Student 840,Computer Science,Music Club,"Artistic, Leadership, Problem Solving, Programming",Boston,Junior,Biology,2.6,"Chinese, English, French, German, Japanese, Spanish",Volunteer Group,Behavioral Economics
841,Student 841,Physics,Coding Club,"Artistic, Leadership, Programming, Public Speaking",Boston,Graduate,Computer Science,2.23,Japanese,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Robotics
842,Student 842,Biology,Music Club,Public Speaking,Houston,Graduate,Psychology,3.96,Chinese,"Art Club, Debate Club, Sports Team",Nanotechnology
843,Student 843,Psychology,Debate Club,"Artistic, Data Analysis, Problem Solving",Boston,Graduate,Computer Science,2.09,"French, German","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
844,Student 844,Biology,Coding Club,"Data Analysis, Leadership, Programming",Los Angeles,Sophomore,Mathematics,3.14,"Chinese, French, Japanese","Coding Club, Volunteer Group",Robotics
845,Student 845,History,Art Club,"Artistic, Public Speaking",New York,Graduate,Computer Science,3.5,German,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Urban Planning
846,Student 846,Computer Science,Volunteer Group,"Data Analysis, Leadership, Programming",Los Angeles,Graduate,Computer Science,2.2800000000000002,"Chinese, French, German, Japanese, Spanish","Art Club, Volunteer Group",Cognitive Psychology
847,Student 847,Mathematics,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Chicago,Graduate,Computer Science,3.64,"Chinese, English, French, German, Japanese, Spanish","Art Club, Music Club, Sports Team",Data Science
848,Student 848,Mathematics,Coding Club,"Leadership, Public Speaking",Los Angeles,Sophomore,Computer Science,3.91,"German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
849,Student 849,Computer Science,Music Club,"Artistic, Public Speaking",Chicago,Junior,Psychology,3.89,"English, German","Coding Club, Sports Team",Social Sciences
850,Student 850,Psychology,Debate Club,"Data Analysis, Leadership, Public Speaking",Houston,Senior,Biology,2.7199999999999998,"English, French, German, Spanish",Art Club,Machine Learning
851,Student 851,Computer Science,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,Psychology,3.7199999999999998,"French, Japanese",Debate Club,Cognitive Psychology
852,Student 852,Computer Science,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,History,2.2800000000000002,"Chinese, English, German, Japanese, Spanish","Art Club, Sports Team, Volunteer Group",Healthcare Management
853,Student 853,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Houston,Junior,Biology,3.34,"English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Volunteer Group",Urban Planning
854,Student 854,Biology,Sports Team,Artistic,Boston,Graduate,Mathematics,2.01,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
855,Student 855,History,Debate Club,"Artistic, Data Analysis, Public Speaking",Los Angeles,Freshman,Biology,3.3,"English, French, Japanese, Spanish","Coding Club, Debate Club, Music Club",Environmental Sustainability
856,Student 856,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Boston,Senior,Physics,2.29,"Chinese, English, French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Social Sciences
857,Student 857,Physics,Coding Club,"Artistic, Problem Solving",Los Angeles,Freshman,Psychology,2.02,French,"Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Natural Language Processing
858,Student 858,Physics,Volunteer Group,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",New York,Graduate,History,2.91,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
859,Student 859,Mathematics,Debate Club,Public Speaking,San Francisco,Graduate,Biology,2.12,"Chinese, English, French, German, Spanish","Coding Club, Sports Team, Volunteer Group",Urban Planning
860,Student 860,Mathematics,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Graduate,History,2.75,"Chinese, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Cognitive Psychology
861,Student 861,Mathematics,Music Club,"Data Analysis, Programming",Los Angeles,Junior,Mathematics,3.96,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Sports Team, Volunteer Group",Urban Planning
862,Student 862,History,Sports Team,"Data Analysis, Public Speaking",Chicago,Junior,Psychology,2.45,English,"Art Club, Coding Club, Debate Club, Music Club",Educational Technology
863,Student 863,Computer Science,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Sophomore,History,3.89,Chinese,"Art Club, Music Club",Urban Planning
864,Student 864,Mathematics,Art Club,"Artistic, Data Analysis, Public Speaking",San Francisco,Freshman,Physics,3.9,"English, German","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
865,Student 865,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving",Boston,Freshman,Psychology,3.94,"Chinese, Spanish",Volunteer Group,Social Sciences
866,Student 866,Biology,Music Club,"Artistic, Public Speaking",Houston,Sophomore,Biology,2.22,"Chinese, English, French, German, Japanese",Sports Team,Climate Change
867,Student 867,Psychology,Volunteer Group,"Leadership, Problem Solving, Programming",Los Angeles,Freshman,Physics,2.15,"English, Japanese",Volunteer Group,Natural Language Processing
868,Student 868,Biology,Music Club,Leadership,San Francisco,Freshman,Physics,3.0,"German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
869,Student 869,Mathematics,Volunteer Group,"Data Analysis, Leadership, Problem Solving",Boston,Freshman,History,2.68,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Bioinformatics
870,Student 870,Biology,Art Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Mathematics,2.37,"Chinese, English, French, German, Japanese, Spanish","Art Club, Volunteer Group",Urban Planning
871,Student 871,Psychology,Coding Club,"Artistic, Leadership, Problem Solving",Chicago,Sophomore,Mathematics,2.76,"Chinese, English, German, Spanish","Coding Club, Music Club",Machine Learning
872,Student 872,Physics,Volunteer Group,Artistic,Los Angeles,Graduate,Biology,3.32,English,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
873,Student 873,Computer Science,Sports Team,Programming,Houston,Graduate,Computer Science,2.71,"Chinese, Japanese, Spanish","Music Club, Sports Team",Cognitive Psychology
874,Student 874,Mathematics,Art Club,"Data Analysis, Leadership, Problem Solving",Chicago,Junior,Physics,3.8,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Political Science
875,Student 875,History,Art Club,"Data Analysis, Public Speaking",San Francisco,Freshman,Psychology,3.89,"English, Japanese, Spanish",Volunteer Group,Social Sciences
876,Student 876,Psychology,Sports Team,"Artistic, Programming, Public Speaking",Chicago,Freshman,Physics,2.58,"French, Japanese, Spanish",Coding Club,Astrophysics
877,Student 877,Mathematics,Sports Team,Problem Solving,San Francisco,Sophomore,Biology,3.65,"German, Japanese",Art Club,Data Science
878,Student 878,Mathematics,Sports Team,"Artistic, Data Analysis",Chicago,Senior,Mathematics,2.49,"Chinese, French","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
879,Student 879,Computer Science,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Sophomore,Physics,3.41,"German, Spanish","Debate Club, Music Club, Volunteer Group",Human-Computer Interaction
880,Student 880,Psychology,Art Club,"Data Analysis, Problem Solving",New York,Senior,Mathematics,3.09,Spanish,"Art Club, Coding Club, Debate Club, Music Club, Sports Team",Human-Computer Interaction
881,Student 881,Computer Science,Music Club,Programming,San Francisco,Graduate,Computer Science,3.47,German,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
882,Student 882,Physics,Art Club,"Artistic, Problem Solving, Programming, Public Speaking",San Francisco,Senior,Computer Science,3.1,"Chinese, French, German","Coding Club, Music Club, Volunteer Group",Machine Learning
883,Student 883,History,Volunteer Group,"Artistic, Leadership, Problem Solving, Public Speaking",Boston,Freshman,Computer Science,3.7199999999999998,Japanese,"Sports Team, Volunteer Group",Healthcare Management
884,Student 884,Biology,Volunteer Group,"Data Analysis, Problem Solving, Programming, Public Speaking",Boston,Graduate,History,3.01,English,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
885,Student 885,Psychology,Coding Club,"Leadership, Problem Solving, Public Speaking",New York,Junior,Computer Science,2.02,"Chinese, English, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Artificial Intelligence
886,Student 886,Psychology,Music Club,"Artistic, Leadership, Problem Solving, Programming",Houston,Junior,Psychology,2.89,"Chinese, French, German","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Behavioral Economics
887,Student 887,Computer Science,Coding Club,"Artistic, Problem Solving, Programming, Public Speaking",New York,Graduate,Mathematics,2.14,"French, German, Japanese, Spanish","Sports Team, Volunteer Group",Social Sciences
888,Student 888,Psychology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",New York,Freshman,Mathematics,3.49,"Chinese, English, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
889,Student 889,History,Volunteer Group,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Chicago,Sophomore,Computer Science,2.16,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Biomedical Engineering
890,Student 890,Psychology,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming",Houston,Graduate,History,2.5700000000000003,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team",Bioinformatics
891,Student 891,Physics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",San Francisco,Graduate,Biology,3.5700000000000003,"Chinese, English, French, German, Japanese, Spanish",Art Club,Behavioral Economics
892,Student 892,Physics,Debate Club,Public Speaking,Los Angeles,Graduate,Psychology,2.5,French,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
893,Student 893,Computer Science,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Boston,Sophomore,Biology,3.32,"Chinese, Spanish","Art Club, Music Club, Volunteer Group",Sustainable Agriculture
894,Student 894,Psychology,Music Club,"Artistic, Problem Solving",Los Angeles,Sophomore,Mathematics,3.73,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
895,Student 895,History,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",San Francisco,Freshman,Mathematics,2.77,"Chinese, French, Japanese","Art Club, Debate Club, Music Club, Volunteer Group",Behavioral Economics
896,Student 896,Biology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Sophomore,Mathematics,3.48,"Chinese, French, Spanish","Art Club, Music Club",Climate Change
929,Student 929,Psychology,Music Club,"Leadership, Programming",Chicago,Senior,History,2.04,"Chinese, English, German, Japanese, Spanish",Debate Club,Quantum Computing
897,Student 897,Physics,Sports Team,"Data Analysis, Problem Solving, Programming, Public Speaking",New York,Junior,Biology,2.5,"English, French","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Social Sciences
898,Student 898,Biology,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving",San Francisco,Sophomore,Computer Science,2.42,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team",Blockchain Technology
899,Student 899,Mathematics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Senior,Physics,2.07,"Chinese, Spanish","Art Club, Music Club, Volunteer Group",Human-Computer Interaction
900,Student 900,Physics,Music Club,"Leadership, Public Speaking",Houston,Sophomore,History,3.18,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Astrophysics
901,Student 901,Physics,Volunteer Group,"Data Analysis, Public Speaking",Boston,Senior,Biology,3.68,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
902,Student 902,History,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Freshman,Computer Science,3.48,"English, French, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Natural Language Processing
903,Student 903,Mathematics,Art Club,Public Speaking,New York,Freshman,Psychology,2.23,"Chinese, French, Japanese, Spanish","Coding Club, Music Club",Nanotechnology
904,Student 904,Mathematics,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Freshman,Mathematics,3.29,"English, German","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
905,Student 905,Psychology,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Sophomore,Mathematics,3.5,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Sports Team",Nanotechnology
906,Student 906,Psychology,Debate Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Boston,Sophomore,Physics,2.92,"Chinese, German, Spanish",Sports Team,Environmental Sustainability
907,Student 907,Mathematics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Sophomore,Biology,3.39,"German, Japanese",Music Club,Bioinformatics
908,Student 908,Biology,Volunteer Group,"Artistic, Programming",Boston,Senior,Mathematics,3.32,"English, French","Music Club, Sports Team, Volunteer Group",Artificial Intelligence
909,Student 909,Mathematics,Music Club,"Data Analysis, Leadership, Programming",Boston,Senior,Mathematics,2.74,"Chinese, English, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
910,Student 910,Biology,Art Club,"Artistic, Programming, Public Speaking",San Francisco,Senior,Computer Science,3.7,"Chinese, English","Art Club, Debate Club, Volunteer Group",Educational Technology
911,Student 911,Psychology,Music Club,"Artistic, Problem Solving, Programming, Public Speaking",Los Angeles,Junior,Computer Science,3.69,"Chinese, English, French, German, Japanese",Sports Team,Behavioral Economics
912,Student 912,Psychology,Coding Club,"Data Analysis, Problem Solving, Public Speaking",New York,Sophomore,Psychology,3.73,"Chinese, German, Spanish","Art Club, Coding Club",Astrophysics
913,Student 913,Computer Science,Coding Club,"Data Analysis, Leadership, Problem Solving",Los Angeles,Junior,Psychology,3.45,Japanese,"Art Club, Coding Club, Music Club",Data Science
914,Student 914,Physics,Music Club,Leadership,New York,Junior,Psychology,3.96,"German, Japanese","Coding Club, Sports Team, Volunteer Group",Cybersecurity
915,Student 915,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Programming",San Francisco,Sophomore,Biology,2.9699999999999998,"English, German, Japanese",Debate Club,Space Exploration
916,Student 916,Biology,Volunteer Group,"Programming, Public Speaking",New York,Junior,Physics,3.7800000000000002,"English, Spanish",Debate Club,Data Science
917,Student 917,Psychology,Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking",San Francisco,Junior,Mathematics,3.42,"Chinese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Social Sciences
918,Student 918,Biology,Art Club,"Artistic, Leadership, Problem Solving",Chicago,Junior,Biology,2.15,"Chinese, English, French, Japanese, Spanish",Sports Team,Climate Change
919,Student 919,Psychology,Coding Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Los Angeles,Sophomore,Computer Science,3.5700000000000003,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
920,Student 920,Physics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Houston,Freshman,Computer Science,2.71,"Chinese, Japanese","Art Club, Music Club",Human-Computer Interaction
921,Student 921,History,Sports Team,"Artistic, Public Speaking",San Francisco,Senior,History,3.55,"English, French, Japanese, Spanish","Coding Club, Music Club",Urban Planning
922,Student 922,Psychology,Coding Club,"Artistic, Leadership, Programming",San Francisco,Graduate,Physics,3.5700000000000003,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Cognitive Psychology
923,Student 923,Psychology,Volunteer Group,"Artistic, Data Analysis, Public Speaking",San Francisco,Graduate,Computer Science,2.79,"English, Japanese","Coding Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
924,Student 924,History,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Graduate,Biology,2.29,"English, French, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
925,Student 925,Physics,Volunteer Group,Data Analysis,San Francisco,Graduate,Computer Science,2.12,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Biomedical Engineering
926,Student 926,History,Debate Club,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Boston,Sophomore,Physics,3.5700000000000003,"English, French, Japanese","Coding Club, Music Club",Cybersecurity
